Подразделение,Магазин ID,Наименование магазина,Вид магазина,Площадь магазина 
Черноморское,10013.0,"Краснодар, Мегацентр Красная площадь",Обувь,701.5
Краснодар,10014.0,"Краснодар, ТРК СБС Мегамолл",Обувь,350.0
Ростов,10045.0,"Шахты, ЦУМ",Обувь,410.0
Сочи,10090.0,"Минеральные Воды, ТРЦ Вершина",Обувь,770.0
Кавказ,10105.0,"Ставрополь, ТЦ Обувь Сити",Обувь,890.8
Кавказ,10187.0,"Нальчик, ТРЦ Дея",Обувь,303.0
Сочи,10261.0,"Сочи, ТЦ Дом торговли",Обувь,1093.0
Ростов,10262.0,"Кореновск, ТЦ Квартал",Обувь+Kids,826.0
Краснодар,10279.0,"Краснодар, ул.Ставропольская, д.100",Обувь+Kids,1020.6
Черноморское,10340.0,"Усть-Лабинск, ТЦ Детский мир",Обувь+Kids,461.5
Ростов,10347.0,"Батайск, ул. Кирова, д. 9/1",Обувь,324.5
Краснодар,10355.0,"Славянск-на-Кубани, ТЦ Империя",Обувь,846.0
Черноморское,10362.0,"Армавир, ТРЦ Красная площадь",Обувь,549.9
Сочи,10373.0,"Геленджик, ТЦ BB Passage",Обувь,394.6
Черноморское,10374.0,"Ростов-на-Дону, ТЦ Миллениум",Обувь,405.0
Кавказ,10401.0,"Нальчик, ЦУМ",Обувь,709.0
Кавказ,10557.0,"Георгиевск, ТЦ Россия",Обувь,903.4
Кавказ,10595.0,"Владикавказ, ЦУМ",Обувь,447.3
Краснодар,10628.0,"Краснодар, ТЦ Юбилейный",Обувь,309.1
Кавказ,10640.0,"Махачкала, ТЦ Седьмой континент",Обувь+Kids,726.0
Краснодар,10745.0,"Краснодар, ТЦ Московский",Обувь,256.0
Ростов,10775.0,"Тихорецк, ТЦ Империя",Обувь,784.1
Крым,10810.0,"Анапа, ТРЦ Красная площадь",Обувь,438.0
Сочи,10812.0,"Сочи, ТЦ Мелодия",Обувь,382.0
Кавказ,10816.0,"Ставрополь, ТЦ Европейский-2",Обувь+Kids,552.7
Сочи,10849.0,"Сочи, ТЦ Бирюза",Обувь,350.0
Кавказ,10879.0,"Ставрополь, ТРЦ Европейский",Обувь,828.8
Кавказ,10888.0,"Ставрополь, ТРЦ Москва",Обувь,828.8
Сочи,10933.0,"Сочи, ТЦ 10Дарья",Обувь,348.0
Ростов,10942.0,"Новочеркасск, ТЦ Батон",Обувь,547.9
Кавказ,10956.0,"Каспийск, ТЦ Ривьера",Обувь+Kids,737.4
Ростов,10969.0,"Шахты, ОДЦ Город будущего",Обувь,751.0
Кавказ,10985.0,"Ставрополь, ТРЦ Мегацентр Kosmos",Обувь+Kids,1339.9
Кавказ,11047.0,"Махачкала, ТЦ",Обувь,564.0
Сочи,11127.0,"Майкоп, ул. Пролетарская д.211Б",Обувь,337.0
Черноморское,11160.0,"Кропоткин, ул. Ворошилова д.22А",Обувь+Kids,827.1
Черноморское,11188.0,"Аксай, Торговый комплекс",Обувь,276.0
Ростов,11193.0,"Белая Калитва, ул. Ростовская д.1",Обувь+Kids,427.6
Ростов,11208.0,"Азов, ул. Мира д. 22",Обувь,351.9
Черноморское,11209.0,"Курганинск, ул.Комсомольская д.87",Обувь,298.2
Сочи,11240.0,"Крымск, ул. Троицкая д.121А",Обувь,452.2
Краснодар,11243.0,"Полтавская ст, ул. Красная д.131",Обувь,270.0
Сочи,11253.0,"Абинск, ул. Горького д.26",Обувь+Kids,392.2
Краснодар,11254.0,"Каневская, ТЦ Каневчанка",Обувь+Kids,469.2
Краснодар,11256.0,"Павловская, Торговый центр",Обувь,415.0
Кавказ,11259.0,"Буденновск, ул. Октябрьская д.64А",Обувь+Kids,496.0
Ростов,11267.0,"Донецк, ТЦ Велес",Обувь+Kids,504.0
Краснодар,11334.0,"Темрюк, ТРК Калейдоскоп",Обувь+Kids,1311.0
Ростов,11338.0,"Динская, ТЦ Центральный",Обувь+Kids,426.6
Сочи,11350.0,"Кисловодск, ул. Горького д.15",Обувь,451.6
Крым,11376.0,"Ростов-на-Дону, ТРЦ Золотой Вавилон",Обувь,1716.0
Крым,11397.0,"Ростов-на-Дону, ТРК Горизонт",Обувь+Kids,1348.7
Крым,11412.0,"Таганрог, ТЦ Лето",Обувь+Kids,1583.4
Кавказ,11428.0,"Владикавказ, ТЦ Алания Молл",Обувь,1111.5
Сочи,11429.0,"Новороссийск, ТРЦ Грин Парк",Обувь+Kids,1040.0
Кавказ,11430.0,"Грозный, ТРЦ Грозный Молл",Обувь+Kids,962.3
Черноморское,11431.0,"Лабинск, ТЦ",Обувь,800.0
Ростов,11497.0,"Каменск-Шахтинский, Карла Маркса пр-кт, д. 67а",Обувь,927.7
Кавказ,11498.0,"Невинномысск, Гагарина ул., д. 63",Обувь+Kids,667.5
Черноморское,11500.0,"Ростов-на-Дону, ТРЦ Парк",Обувь,1344.0
Черноморское,11510.0,"Черкесск, ТРЦ Россия",Обувь,798.4
Сочи,11514.0,"Белореченск, ТЦ Центр Города",Обувь,791.6
Крым,11519.0,"Таганрог, ТРЦ Мармелад",Обувь+Kids,832.1
Черноморское,11520.0,"Ростов-на-Дону, ТОЦ Джанфида",Обувь+Kids,515.0
Кавказ,11532.0,"Назрань, ТЦ АлифМолл",Обувь,1020.0
Черноморское,11541.0,"Краснодар, ТРЦ Галактика",Обувь+Kids,1454.1
Сочи,11551.0,"Сочи, ТЦ Олимп",Обувь,826.0
Сочи,11555.0,"Ессентуки, ТЦ Новое время",Обувь+Kids,1003.4
Сочи,11585.0,"Майкоп, ТЦ Европейский",Обувь+Kids,758.0
Кавказ,11586.0,"Баксан, Ленина пр-кт, д. 58",Обувь+Kids,850.0
Черноморское,11595.0,"Краснодар, им. Валерия Гассия ул., д. 2А",Обувь,578.5
Сочи,11607.0,"Геленджик, Островского ул., д. 147",Обувь,793.3
Черноморское,11622.0,"Новоалександровск, Карла Маркса ул., д. 233 Б",Обувь+Kids,512.0
Сочи,11638.0,"Новороссийск, ТРК Красная площадь",Обувь,749.2
Черноморское,11643.0,"Краснодар, им. Петра Метальникова ул., д. 32/1",Обувь,673.5
Краснодар,11648.0,"Краснодар, ТЦ Oz Mall",Обувь+Kids,1733.0
Краснодар,11650.0,"Ейск, Победы ул., д. 76/2",Обувь+Kids,746.8
Сочи,11654.0,"Туапсе, ТЦ Победа",Обувь,488.7
Ростов,11666.0,"Тимашевск, Братская ул., д. 174",Обувь+Kids,725.0
Ростов,11667.0,"Батайск, ТЦ Оранжерея",Обувь,509.4
Ростов,11682.0,"Новочеркасск, Ермака пр-т., д. 44",Обувь+Kids,944.8
Ростов,11694.0,"Гуково, Карла Маркса ул., д. 53Д",Обувь,562.0
Краснодар,11724.0,"Краснодар, ТЦ Новый горизонт",Обувь,862.0
Сочи,11757.0,"Сочи, ТЦ Александрия",Обувь,694.0
Краснодар,11783.0,"Кущевская, Ленина ул., д. 21",Обувь+Kids,797.4
Ростов,11840.0,"Миллерово, ТЦ",Обувь,969.0
Черноморское,11858.0,"Изобильный,  Семыкина ул., стр. 17",Обувь,767.5
Кавказ,11869.0,"Владикавказ, ТЦ Столица",Обувь+Kids,796.2
Черноморское,11880.0,"Мостовской, ТЦ Вита",Обувь+Kids,614.0
Черноморское,11894.0,"Ростов-на-Дону, ТЦ Таллер",Обувь,797.0
Ростов,11895.0,"Новошахтинск, ТЦ Городок",Обувь,733.0
Кавказ,11903.0,"Михайловск, Ленина ул., д. 87",Обувь+Kids,864.5
Крым,11904.0,"Ростов-на-Дону, ТРЦ ЖК Суворовский",Обувь+Kids,748.3
Краснодар,11913.0,"Краснодар,  Восточно-Кругликовская ул., дом 26",Обувь,706.5
Краснодар,11949.0,"Краснодар, ТЦ WestMall",Обувь+Kids,902.0
Краснодар,11972.0,"Приморско-Ахтарск, Космонавтов ул., д. 61",Обувь,431.0
Кавказ,11979.0,"Моздок, Хмельницкого Б. ул., домовладение 6",Обувь+Kids,448.0
Черноморское,11980.0,"Ростов-на-Дону, ТРЦ МегаМаг",Обувь+Kids,1278.0
Ростов,13034.0,"Волгодонск, ТЦ Весенний",Обувь,1008.0
Черноморское,13040.0,"Краснодар, ТК Центр Города",Обувь+Kids,839.3
Краснодар,13048.0,"Ейск, ТЦ Сердце Ейска",Обувь,1224.0
Черноморское,13057.0,"Краснодар, ТРЦ Любимово Молл",Обувь+Kids,950.0
Сочи,13071.0,"Апшеронск,ТЦ",Обувь+Kids,555.0
Сочи,13091.0,"Горячий ключ, Ленина ул., д. 193Г",Обувь+Kids,676.0
Сочи,13097.0,"Туапсе, ТРЦ Красная Площадь",Обувь,652.8
Кавказ,13111.0,"Прохладный,ТЦ",Обувь,804.6
Ростов,13125.0,"ТЦ, Элиста",Обувь+Kids,546.0
Кавказ,13130.0,"ТЦ, Невинномысск",Обувь+Kids,920.7
Крым,13131.0,"Симферополь, Южная Галлерея",Обувь,350.0
Крым,13133.0,Крым Симферополь,Обувь,263.0
Крым,13134.0,"Керчь, Торговый квартал",Обувь,570.0
Крым,13135.0,"Симферополь, Меганом",Обувь,1181.0
Крым,13136.0,"Ялта, ТЦ Конфетти",Обувь,522.8
Крым,13137.0,"Симферополь, ТЦ FM",Обувь,494.0
Крым,13138.0,"Бахчисарай, Торговый комплекс",Обувь,429.7
Крым,13139.0,"Евпатория, ТЦ Капитал",Обувь,955.0
Крым,13140.0,"Джанкой, Интернациональная ул., д. 74",Обувь,577.0
Крым,13141.0,"Алушта, Универмаг",Обувь,280.7
Крым,13142.0,"Саки, Революции ул., дом 9",Обувь,366.0
Крым,13143.0,"Севастополь, Новус Посейдон",Обувь,550.0
Крым,13144.0,"Севастополь, ТЦ Sea Moll",Обувь+Kids,1420.9
Крым,13145.0,"Севастополь, ТЦ Муссон",Обувь,1043.8
Крым,13146.0,"Феодосия, Победы ул, 2",Обувь,298.0
Краснодар,13153.0,"Ст. Ленинградская, ТК Солнечный",Обувь+Kids,407.7
Кавказ,13154.0,"Махачкала, ТРЦ Миркато",Обувь+Kids,1133.7
Ростов,13159.0,"Кирова ул., 86, Сальск",Обувь+Kids,430.9
Черноморское,13163.0,"Станица Отрадная, Первомайская ул., 64Е/1",Обувь,556.4
Черноморское,13164.0,"Ростов-на-Дону, ТРЦ РИО",Обувь,642.8
Средняя площадь магазинов,,,,715.0
